tombo;titulo;subtitulo;volume;edição;exemplares;exemplar;autor;editora;procedencia;Cutter;Ano de Publicação;ISBN;capa;genero;Sinopse
1;Aventuras de Pedro Malasartes;;1;1 ed.;1;ex. 01;ALBISSÚ, Nelson Albissú;Cortez;FDE;A337a;2009;978-85-249-1504-8;01.png;1;Dono de uma lábia sem tamanho, Pedro Malasartes sai pelo mundo tirando vantagem de todos que se colocam em seu caminho. Típico personagem da cultura popular, nosso protagonista inspira Nelson Albissú a construir um belo reconto, que traz clareza e poesia às aventuras que instigam nossa imaginação, além de trazer reflexão sobre as atitudes que temos com outros. Bela oportunidade de vivenciar a riqueza do imaginário das histórias que permaneceram pela tradição oral.
2;Manual do defensor do planeta;;1;2 ed.;1;ex. 01;João Alegria e Rodrigro Medeiros;Casa da Palavra;FNDE;A366m;2012;978-85-7734-306-5;02.png;1;Preocupado em proteger o planeta , Theo, um mineirinho de 9 anos, morador de Ouro Preto, decide escrever um manual para que outras crianças possam ajudá-lo na tarefa preservar a Terra e seus recursos. João Alegria, diretor do Canal Futura e Rodrigo Medeiros, doutor em Biologia e Meio Ambiente , criaram uma deliciosa história pensada e escrita sob o ponto de vista infantil tratando temas importantes e relevantes como sustentabilidade, ecologia e meio ambiente de forma lúdica e interativa. O livro conta com as ilustrações bem humoradas da equipe da Revista Beleléu.
3;Sombra e ossos;Ela é a única que pode vencer a escuridão. E terá de fazer isso sozinha.;1;2 ed.;1;ex. 01;Leigh Bardugo;Gutenberg;Doação;B247s;2013;978-85-8235-063-8;03.png;2;Alina Starkov nunca esperou muito da vida. Órfã de guerra, ela tem uma única certeza: o apoio de seu melhor amigo, Maly, e sua inconveniente paixão por ele. Cartógrafa de seu regimento militar, em uma das expedições que precisa fazer à Dobra das Sombras uma faixa anômala de escuridão repleta dos temíveis predadores volcras, Alina vê Maly ser atacado pelos monstros e ficar brutalmente ferido. Seu instinto a leva a protegê-lo, quando inesperadamente ela vê revelado um poder latente que nunca suspeitou ter.
4;Grande Sertão: Veredas;;1;19 ed.;1;ex. 01;João Guimarães Rosa;Nova Fronteira;FDE;R788g;2001;978-85-209-1209-6;04.png;3;
5;Dança dos dragões;As cronicas de gelo e fogo.;1;4 ed.;1;ex. 01;George Martin;LeYa;Doação;M381d;2015;978-85-441-0414-9;05.png;2;Daenerys Targaryen governa uma cidade construída sobre o pó e a morte, e segue aprendendo que conquistar algo é mais fácil do que modificá-lo. A Patrulha da Noite, com seus homens cada vez mais reduzidos, está sob o comando de Jon Snow, que precisa tomar decisões cada vez mais difíceis sobre o que fazer em relação ao autoritário Rei Stannis, aos selvagens e aos homens da Patrulha. Enquanto Bran prossegue a sua viagem, coisas acontecem na Baía dos Escravos e Daenerys percebe que seus inimigos estão cada vez mais numerosos e sedentos para destruí-la.Traições, revelações e um fantasma do passado que volta para assombrar quando menos se espera.
6;Sombras do medo;;1;1 ed.;1;ex. 01;Camila Pelegrini;GARCIA;Doação;P381s;2014;978-88-65490-76-4;06.png;2;Em um futuro pós destruição em massa, provocada pelas guerras humanas e desastres naturais  para os quais os humanos também contribuíram grandemente   o mundo é dividido em 5 grandes regiões. Em cada uma delas vivem ordinários e singulares, pessoas com ambições completamente diferentes. Estes dominam o mundo. Aqueles tentam tão somente sobreviver.E ao viverem dessa forma, a bondade beira à extinção. O caos reina em seu lugar, despertando forças malignas que há muito esperam para serem alimentadas.A maior guerra de todos os tempos finalmente começa e a humanidade já se encontra em desvantagem.
7;Economia;Fundamentos e praticas aplicadas a realidade brasileira.;1;1 ed.;1;ex. 01;Carlos Eduardo de Freitas Vian;Alínea;Compra;V614e;2005;85.7516.120-2;07.png;4;"Essencial para o ensino introdutório de Economia a estudantes de Ciências Humanas e Exatas, o livro reúne três importantes aspectos: primeiro, apresenta, de forma simples e precisa, os conceitos e métodos de análises essenciais a tratar as principais questões econômicas; segundo, os capítulos foram formulados por professores com expressivas experiências didáticas nas respectivas áreas e com formações teóricas distintas; terceiro, o livro procura aplicar os conhecimentos teóricos abstratos das Ciências Econômicas ao tratamento de fenômenos inerentes à economia brasileira."
8;As ciências da comunicação;Teorias e aquisições.;1;1 ed.;1;ex. 01;Bruno Oliver;Senac;Doação;O49c;2018;978-85-396-0262-9;08.png;4;Considerando que a comunicação perpassa todas as atividades humanas, as ciências da comunicação elaboram há cerca de quarenta anos saberes que permitem abordar as questões mais candentes de nossas sociedades. Este livro, que se pretende um manual, atento a tudo o que determina a autonomia dessas ciências com relação aos modelos das ciências sociais.
9;Estastística;Aplicada à administração.;1;1 ed.;1;ex. 01;William J. Stevenso;Harbra;Compra;S848e;2001;85-294-0094-5;09.png;4;Destinado a estudantes de cursos de estatística introdutória, este livro-texto é de fácil leitura e assimilação, agradável e interessante, o que o destaca dentre os usualmente áridos textos da área. Seu objetivo é desenvolver no leitor uma compreensão intuitiva da estatística e do raciocínio estatístico, ao mesmo tempo que lhe proporciona treinamento na resolução de problemas.
10;Automação industrial;Série brasileira de tecnologia.;1;10 ed.;1;ex. 01;Ferdinando Natale;érica;Compra;N272a;2011;978-85-7194-707-8;10.png;4;Direcionada aos estudantes da área elétrica, técnicos de nível médio e engenheiros que possuam alguns conhecimentos básicos de lógica de contatos, circuitos digitais e fluxograma de processo, a obra apresenta o equipamento, o computador ou controlador programável e depois a linguagem, passo a passo, com exemplos e exercícios práticos.
